"Time (s)","Acceleration (m/s²)"
7.683156201E1,-5.123138428E-3
7.686998295E1,-4.497718811E-2
7.690840389E1,6.521606445E-2
7.694682493E1,1.055364609E-1
7.698524587E1,-5.000972748E-2
7.702366680E1,-8.797836304E-2
7.706208774E1,-5.307865143E-2
7.710050868E1,1.402826309E-1
7.713892962E1,4.829597473E-2
7.717735055E1,-6.881809235E-2
7.721577139E1,-4.635906219E-2
7.725419232E1,4.606342316E-2
7.729261326E1,-1.171493530E-2
7.733103409E1,-4.665851593E-2
7.736945503E1,8.263683319E-2
7.740787597E1,5.667686462E-3
7.744629680E1,-4.159545898E-2
7.748471774E1,-2.876567841E-2
7.752313857E1,5.467128754E-2
7.756155951E1,1.090946198E-1
7.759998034E1,-4.780101776E-2
7.763840118E1,-9.819889069E-2
7.767682212E1,-6.150054932E-2
7.771524295E1,6.542968750E-2
7.775366378E1,7.223796844E-2
7.779208462E1,1.717281342E-2
7.783050545E1,-6.302833557E-3
7.786892628E1,2.985763550E-2
7.790734712E1,-6.369304657E-2
7.794576795E1,-1.813030243E-2
7.798418878E1,2.066612244E-3
7.802260962E1,4.437255859E-2
7.806103045E1,-2.223014832E-2
7.809945118E1,-3.972721100E-2
7.813787201E1,-1.337051392E-3
7.817629274E1,8.473300934E-2
7.821471357E1,-2.811622620E-2
7.825313430E1,-2.512073517E-2
7.829155514E1,-1.450634003E-2
7.832997587E1,2.219676971E-2
7.836839670E1,-4.854202271E-4
7.840681743E1,-1.495933533E-2
7.844523816E1,9.658336639E-2
7.848365889E1,-2.040100098E-2
7.852207972E1,-3.465938568E-2
7.856050045E1,-2.340984344E-2
7.859892118E1,-1.179695129E-2
7.863734191E1,-2.071380615E-3
7.867576264E1,7.400417328E-2
7.871418337E1,8.771896362E-3
7.875260399E1,-7.108497620E-2
7.879102472E1,-6.299400330E-2
7.882944545E1,4.393577576E-2
7.886786618E1,6.892681122E-2
7.890628680E1,-3.505039215E-2
7.894470753E1,3.016471863E-3
7.898312816E1,2.515411377E-2
7.902154889E1,1.343345642E-2
7.905996951E1,-5.222797394E-2
7.909839024E1,-1.636028290E-2
7.913681086E1,4.280376434E-2
7.917523149E1,4.330444336E-2
7.921365222E1,-4.221057892E-2
7.925207284E1,-4.050731659E-2
7.929049347E1,6.046199799E-2
7.932891409E1,3.297710419E-2
7.936733472E1,-4.514980316E-2
7.940575534E1,-4.548931122E-2
7.944417597E1,5.692481995E-2
7.948259659E1,2.410507202E-2
7.952101722E1,-6.527900696E-3
7.955943784E1,-5.522346497E-2
7.959785837E1,-5.750656128E-3
7.963627899E1,5.801200867E-3
7.967469962E1,-3.530502319E-3
7.971312014E1,-1.059532166E-3
7.975154076E1,2.023506165E-2
7.978996128E1,5.573368073E-2
7.982838191E1,-5.183601379E-2
7.986680243E1,-6.177330017E-2
7.990522305E1,-6.283760071E-3
7.994364357E1,9.016799927E-2
7.998206409E1,-2.080535889E-2
8.002048472E1,-3.615760803E-2
8.005890524E1,1.986026764E-2
8.009732576E1,4.534053802E-2
8.013574628E1,3.562831879E-2
8.017416680E1,-8.063697815E-2
8.021258732E1,-2.724170685E-2
8.025100784E1,6.614494324E-2
8.028942836E1,7.023811340E-3
8.032784889E1,-7.160949707E-2
8.036626941E1,1.357936859E-2
8.040468993E1,3.054618835E-2
8.044311045E1,6.199932098E-2
8.048153087E1,-1.308183670E-1
8.051995139E1,-5.731105804E-2
8.055837191E1,3.583049774E-2
8.059679232E1,1.518001556E-1
8.063521284E1,1.438713074E-2
8.067363336E1,-7.812500000E-2
8.071205378E1,-5.057048798E-2
8.075047430E1,-9.226799011E-3
8.078889472E1,1.260757446E-2
8.082731514E1,-1.056766510E-2
8.086573566E1,4.262733459E-2
8.090415607E1,4.060745239E-3
8.094257649E1,-3.751373291E-2
8.098099701E1,-2.384185791E-2
8.101941743E1,3.693771362E-2
8.105783784E1,2.104759216E-3
8.109625826E1,1.202106476E-2
8.113467868E1,-4.684162140E-2
8.117309909E1,2.886772156E-2
8.121151951E1,6.937885284E-2
8.124993993E1,3.341674805E-3
8.128836034E1,-8.397769928E-2
8.132678076E1,-1.807403564E-2
8.136520118E1,4.343318939E-2
8.140362159E1,1.596832275E-2
8.144204191E1,-4.874515533E-2
8.148046232E1,-3.061294556E-3
8.151888274E1,1.613235474E-2
8.155730305E1,9.210205078E-2
8.159572347E1,-8.488082886E-2
8.163414389E1,-1.540184021E-1
8.167256420E1,2.486324310E-2
8.171098462E1,1.594257355E-1
8.174940493E1,1.287002563E-1
8.178782534E1,-9.985160828E-2
8.182624566E1,-1.389532089E-1
8.186466607E1,-3.701305389E-2
8.190308639E1,7.598018646E-2
8.194150670E1,8.542728424E-2
8.197992712E1,-6.241798401E-3
8.201834743E1,-6.164455414E-2
8.205676774E1,-8.767986298E-2
8.209518805E1,-5.839347839E-2
8.213360836E1,1.252841949E-1
8.217202868E1,1.359167099E-1
8.221044909E1,-7.749271393E-2
8.224886941E1,-5.780982971E-2
8.228728972E1,4.120826721E-3
8.232571003E1,-8.547973633E-2
8.236413024E1,-9.445190430E-3
8.240255055E1,1.720905304E-1
8.244097087E1,9.384155273E-4
8.247939118E1,-1.174974442E-1
8.251781149E1,-2.256011963E-2
8.255623180E1,1.579952240E-2
8.259465212E1,1.139450073E-2
8.263307232E1,7.763385773E-2
8.267149264E1,1.216411591E-2
8.270991295E1,-4.335975647E-2
8.274833316E1,-3.599929810E-2
8.278675347E1,3.340816498E-2
8.282517368E1,1.889896393E-2
8.286359399E1,1.093959808E-2
8.290201420E1,-4.302024841E-3
8.294043451E1,1.385593414E-2
8.297885472E1,-3.173065186E-2
8.301727503E1,-7.092571259E-2
8.305569524E1,-4.496955872E-2
8.309411545E1,8.197498322E-2
8.313253576E1,3.966331482E-2
8.317095597E1,-4.560661316E-2
8.320937618E1,5.456924438E-3
8.324779639E1,1.737499237E-2
8.328621670E1,2.626609802E-2
8.332463691E1,-1.791381836E-2
8.336305712E1,-2.788448334E-2
8.340147732E1,-1.485347748E-2
8.343989753E1,7.359504700E-3
8.347831774E1,-3.221702576E-2
8.351673795E1,9.164714813E-2
8.355515816E1,5.538845062E-2
8.359357836E1,-7.672023773E-2
8.363199857E1,-4.591751099E-2
8.367041878E1,-2.833557129E-2
8.370883899E1,2.380943298E-2
8.374725909E1,7.471752167E-2
8.378567930E1,2.619647980E-2
8.382409951E1,-7.492446899E-2
8.386251972E1,-2.916336060E-3
8.390093982E1,2.297687531E-2
